
*** Voronoi Diagram Neighbours k = 751 ***
Seed	Neighbours
N751(135)	{ 34 134 80 267 107 137 }
N751(136)	{ 80 138 81 46 368 133 35 }
N751(137)	{ 80 135 518 81 267 }
N751(138)	{ 81 136 635 84 46 }
N751(139)	{ 87 519 140 88 }
N751(140)	{ 238 87 139 519 520 522 141 521 }
N751(141)	{ 238 142 140 524 239 522 }
N751(142)	{ 141 441 239 711 238 144 }
N751(143)	{ 167 511 91 711 87 92 }
N751(144)	{ 441 145 711 92 142 }
N751(145)	{ 92 144 713 146 441 }
N751(146)	{ 92 511 145 749 713 583 }
N751(147)	{ 76 288 727 442 33 }
N751(148)	{ 25 73 193 74 727 149 72 }
N751(149)	{ 193 75 727 33 148 }
N751(150)	{ 151 39 201 20 613 153 40 }
N751(151)	{ 39 150 45 200 154 20 }
N751(152)	{ 39 45 155 443 153 295 }
N751(153)	{ 39 152 613 443 150 }
N751(154)	{ 45 151 509 200 21 }
N751(155)	{ 278 45 152 402 44 295 }
N751(156)	{ 50 208 207 651 26 157 }
N751(157)	{ 208 209 480 651 156 650 }
N751(158)	{ 10 480 479 209 530 529 245 }
N751(159)	{ 244 491 325 536 245 420 }
N751(160)	{ 544 500 560 495 559 692 543 496 }
N751(161)	{ 207 305 50 499 498 309 }
N751(162)	{ 121 59 187 188 60 458 250 191 }
N751(163)	{ 636 249 487 612 672 569 637 }
N751(164)	{ 125 64 126 212 124 165 }
N751(165)	{ 8 126 212 164 65 }
N751(166)	{ 296 89 168 519 88 52 }
N751(167)	{ 143 91 87 168 88 68 }
N751(168)	{ 88 167 296 166 68 }
N751(169)	{ 373 370 371 399 396 372 }
N751(170)	{ 262 171 189 451 260 261 }
N751(171)	{ 170 331 260 641 262 172 }
N751(172)	{ 173 259 97 331 221 641 171 174 }
N751(173)	{ 174 172 98 742 243 97 }
N751(174)	{ 173 98 486 317 641 172 190 }
N751(175)	{ 274 599 639 638 642 192 340 }
N751(176)	{ 177 9 332 558 481 482 }
N751(177)	{ 9 176 363 332 286 180 }
