
***             Voronoi Diagram k =  471         ***
index	sx	sy	ls	mi
      188	    196	    165	         4	       514
      189	    187	    160	      5.92	       256
      190	    195	    149	      5.83	       349
      191	     53	     37	      3.46	       457
      192	     51	     42	      6.24	       180
      193	     47	     39	      3.32	       306
      194	     46	     34	      2.65	       524
      195	     49	     33	      3.87	       362
      196	     30	     13	      16.5	       107
      197	     28	     34	       5.1	       359
      198	      5	     40	      7.48	       401
      199	     67	    225	        10	       251
      200	     64	    238	        15	       185
      201	     49	    248	      18.8	       157
      202	     35	    221	      8.83	       300
      203	     61	    215	       5.2	       585
      204	     35	     48	      7.55	       168
      205	      7	     46	      8.83	       320
      206	     30	     38	      4.24	       581
      207	    114	     13	      27.1	       126
      208	    102	     33	      14.4	       153
      209	     93	     41	         8	       285
      210	     86	     42	      7.81	       177
      211	     81	     36	         3	       441
      212	     80	     30	      5.48	       204
      213	     81	     22	        11	       144
      214	     67	     34	      3.46	       459
      215	     65	     36	         3	       712
      216	     61	     26	      6.93	       194
      217	    156	    221	      4.36	       457
      218	    153	    225	      5.66	       402
      219	     62	     37	      3.32	       512
      220	     57	     36	      2.65	       625
      221	     58	     30	         5	       232
      222	     41	     33	      3.46	       501
      223	     41	     38	      2.65	       485
      224	     37	     40	       4.9	       277
      225	     34	     36	      3.46	       612
      226	    194	    188	      4.36	       549
      227	    106	    226	      3.74	       525
      228	    125	    230	      5.29	       294
      229	    104	    249	      14.7	       189
      230	    107	    229	      4.69	       376
      231	    138	    230	      4.58	       375
      232	    195	    161	      4.12	       540
      233	    194	    157	      4.24	       462
      234	    200	    157	      4.69	       304
      235	    176	    207	      6.32	       302
      236	    140	    236	      8.49	       201
      237	    112	    228	      3.46	       693
      238	    196	    178	      3.87	       523
      239	     66	     46	      9.11	       163
      240	     55	     39	      4.47	       232
      241	     53	     34	      2.65	       695
      242	     46	     42	       4.8	       186
      243	     45	     37	      2.45	       509
      244	     45	     35	      1.73	       700
      245	     45	     30	      3.74	       301
      246	     53	     30	       4.8	       240
      247	     46	     27	      6.08	       204
      248	     50	     26	      5.74	       212
      249	     13	     40	      6.08	       441
      250	      6	     33	      8.49	       281
      251	     67	    216	      6.71	       460
      252	     60	    221	      7.14	       291
      253	     53	    216	         3	       540
      254	     60	    202	      8.72	       159
      255	     64	    211	      6.08	       261
      256	     17	     53	      12.3	       167
      257	     14	     80	      28.5	       155
      258	     16	     44	      6.86	       352
      259	     70	     28	      5.83	       210
      260	     64	     40	         5	       223
      261	     59	     38	      3.87	       290
      262	     55	     34	      2.83	       568
      263	     42	     30	         4	       273
      264	     42	     35	      2.45	       656
      265	     39	     26	      8.54	       203
      266	     42	     37	      1.73	       588
      267	     42	     41	       5.1	       180
      268	    172	    126	      12.2	       204
      269	    157	    127	      5.66	       379
      270	    151	    126	      6.63	       355
      271	    145	    120	        10	       291
      272	    151	    110	      12.5	       233
      273	    177	    100	      20.8	       172
      274	    139	    146	         6	       384
      275	    132	    146	      9.43	       277
      276	    137	    139	      4.69	       381
      277	     33	     41	      4.69	       285
      278	     29	     57	      17.8	       139
      279	     23	     45	      7.14	       214
      280	     25	     41	      4.58	       523
      281	     93	     24	      14.5	       128
      282	     91	     34	      7.75	       223
      283	     87	     37	       4.9	       364
      284	     85	     30	      6.71	       187
      285	     14	    161	      31.4	       161
      286	     17	    202	      6.24	       461
      287	      4	    215	         8	       280
      288	     77	     42	         5	       205
      289	     75	     34	      3.61	       377
      290	     24	     37	       5.2	       509
      291	     30	     28	      8.31	       239
      292	     44	    224	      8.12	       234
      293	     46	    233	      12.1	       152
      294	     34	    234	      12.8	       135
      295	     40	    216	      6.32	       325
      296	     80	     39	      4.36	       431
      297	     79	     34	      3.32	       300
      298	    198	    191	      5.48	       253
      299	     56	    213	      4.12	       474
      300	     55	    218	         5	       310
      301	     50	    222	      6.56	       269
      302	     47	    214	       4.9	       399
      303	    165	    114	      14.7	       192
      304	    162	    124	      7.55	       275
      305	    154	    118	      8.25	       273
      306	    103	    235	      8.19	       206
      307	     90	    244	      15.2	       187
      308	     94	    227	      5.74	       323
      309	     96	    224	      5.39	       403
      310	    108	    237	      7.68	       196
      311	     97	    218	      8.43	       221
      312	    105	    217	      7.62	       201
      313	      5	    184	      14.2	       216
      314	      5	    203	      3.61	       450
      315	    204	    163	      7.28	       259
      316	      7	     56	        15	       180
      317	     70	    209	      6.32	       224
      318	     66	    201	        10	       140
      319	     28	    192	       9.9	       159
      320	     17	    209	      7.94	       298
      321	     12	    204	       5.1	       464
      322	     12	    190	      9.43	       208
      323	     20	     40	      5.29	       512
      324	     19	     33	      6.71	       274
      325	     35	    211	      7.68	       280
      326	     25	    214	      9.22	       295
      327	     33	    196	      9.49	       172
      328	     59	    211	       4.9	       252
      329	     52	    213	      4.24	       289
      330	     55	    207	      6.78	       203
      331	    188	     63	      38.8	       150
      332	    162	     93	      20.2	       179
      333	    143	    102	      14.1	       220
      334	    135	     91	      14.5	       199
      335	    162	     46	      37.1	       148
      336	    155	    132	      6.32	       334
      337	    149	    131	      5.57	       390
      338	     84	    205	        11	       160
      339	     80	    219	      6.63	       360
      340	     74	    220	      7.35	       316
      341	     73	    214	         6	       384
      342	     75	    207	      8.06	       181
      343	    199	    183	       5.2	       333
      344	    194	    183	      4.12	       528
      345	    148	    222	      4.36	       249
      346	    144	    222	      4.24	       234
      347	    165	    219	         5	       415
      348	    163	    222	      4.12	       437
      349	    160	    222	      3.61	       477
      350	    207	    155	      8.19	       232
      351	    201	    152	      5.57	       283
      352	     96	    233	      8.49	       212
      353	     86	    232	      10.4	       213
      354	     90	    224	      6.93	       332
      355	     37	    176	      20.6	       176
      356	     24	    201	      6.78	       380
      357	     20	    196	      7.75	       222
      358	     22	    185	      14.8	       172
      359	     41	    198	      11.3	       172
      360	     31	    205	      7.87	       304
      361	     26	    205	      6.56	       370
      362	    150	    174	      15.1	       177
      363	    140	    186	      15.7	       181
      364	    125	    188	      15.3	       173
      365	    114	    181	        16	       177
      366	    107	    170	      15.8	       210
      367	    107	    154	      18.7	       235
      368	    124	    158	      14.9	       295
      369	    138	    162	      11.5	       218
      370	    149	    149	      7.68	       281
      371	    143	    151	      7.81	       271
      372	    184	    183	       4.8	       445
      373	    176	    186	      7.14	       230
      374	    165	    178	      12.5	       193
      375	    180	    180	      5.39	       287
      376	     83	     53	      10.6	       159
      377	     15	     35	       6.4	       310
      378	      9	     27	      12.8	       173
      379	    188	    114	        15	       187
      380	    183	    125	      12.1	       214
      381	    131	    139	      8.25	       252
      382	    127	    127	        14	       196
      383	     77	     47	      8.12	       174
      384	     75	     28	      6.32	       198
      385	     50	    216	         4	       431
      386	     45	    218	      5.29	       345
      387	     42	    209	      7.68	       237
      388	     48	    208	      7.55	       216
      389	    212	    187	      13.1	       176
      390	    204	    181	      6.56	       221
      391	    141	    137	      4.24	       473
      392	      4	    198	      4.58	       237
      393	    179	    224	      9.38	       195
      394	    175	    231	        11	       191
      395	    177	    216	      7.81	       275
      396	    195	    172	      3.16	       476
      397	    189	    170	      4.58	       295
      398	    191	    166	      4.24	       373
      399	    197	    145	      6.48	       305
      400	    192	    153	       4.9	       386
      401	    186	    148	      8.31	       276
      402	    187	    139	      10.9	       232
      403	    195	    138	      8.31	       283
      404	     40	     50	      9.75	       142
      405	    169	    240	      13.9	       172
      406	    160	    225	      5.29	       268
      407	    206	    149	      8.25	       231
      408	    203	    143	       9.9	       202
      409	    231	    113	      35.2	       164
      410	    198	    131	      10.2	       210
      411	    199	     97	      28.3	       152
      412	    191	    210	         7	       206
      413	    184	    212	      6.24	       245
      414	    188	    204	         5	       279
      415	      3	    194	      6.93	       241
      416	    197	    154	      4.12	       437
      417	    168	    224	      6.08	       219
      418	    164	    230	      7.68	       198
      419	    203	    114	      16.3	       159
      420	    192	    124	      8.77	       228
      421	    197	    174	      3.74	       542
      422	    185	    172	       4.8	       310
      423	    183	    177	      4.69	       416
      424	    176	    175	      8.54	       237
      425	    168	    167	      12.4	       228
      426	    125	    107	      10.9	       198
      427	    115	     95	      11.8	       220
      428	    132	     74	      20.5	       167
      429	    208	    124	      16.8	       161
      430	    197	    122	      8.89	       221
      431	     93	    179	        15	       197
      432	     81	    183	      15.1	       212
      433	     63	    185	      15.5	       158
      434	     56	    174	      15.6	       213
      435	     52	    161	      22.6	       146
      436	     50	    136	        34	       151
      437	     82	    143	      26.8	       156
      438	     89	    163	      18.4	       219
      439	    191	    162	      4.12	       385
      440	    173	    157	      11.3	       214
      441	    181	    153	      8.83	       235
      442	    189	    156	      5.29	       352
      443	    116	    114	      16.5	       194
      444	    124	     97	         9	       286
      445	    131	    101	      9.95	       231
      446	    122	     90	      11.9	       260
      447	    104	    103	      20.1	       175
      448	     75	    101	      32.3	       167
      449	    110	     84	      16.8	       229
      450	    202	    196	      8.43	       217
      451	    124	     58	      24.2	       168
      452	     87	     68	      18.2	       164
      453	     93	     53	      11.4	       155
      454	    100	     44	      10.8	       222
      455	    113	     42	      21.1	       162
      456	     27	    225	      9.17	       301
      457	     25	    237	      11.4	       115
      458	     14	    238	      11.7	       104
      459	      6	    225	      11.1	       227
      460	     13	    219	      8.49	       294
      461	     21	    221	      7.62	       313
      462	    133	    135	      6.63	       261
      463	    138	    133	      6.16	       339
      464	      7	    201	      2.45	       392
      465	      7	    207	       5.1	       345
      466	      2	    207	         5	       302
      467	     10	    211	      6.86	       298
      468	      9	    201	         3	       399
      469	     12	    198	         6	       267
      470	     32	     34	      3.61	       390
      471	    164	    131	      8.49	       288
