
***             Voronoi Diagram k = 7175         ***
index	sx	sy	ls	mi
      187	    198	    550	      60.7	        19
      188	    103	    464	      6.08	        96
      189	    117	    458	      9.22	        99
      190	    732	    712	        11	        68
      191	     57	    137	      16.9	       123
      192	     48	     89	      16.2	       135
      193	     59	    170	      8.25	        69
      194	     57	    425	      8.06	        19
      195	     35	    362	      7.28	        73
      196	    643	    105	      5.48	      80.5
      197	    633	    122	      4.24	       111
      198	    607	     91	        11	        19
      199	    500	     59	      4.47	       132
      200	    764	    194	      17.9	       108
      201	    745	    162	      18.2	        80
      202	    753	    146	      13.2	        98
      203	    741	    448	        22	        61
      204	    713	    453	      5.92	        50
      205	    704	    438	      12.8	        82
      206	    710	    427	      15.5	        74
      207	    735	    430	      20.8	        67
      208	    569	    398	      9.27	      55.5
      209	    550	    415	      7.87	        19
      210	    538	    413	      8.83	        19
      211	    544	    384	      13.3	        56
      212	    557	    368	        20	        87
      213	    563	    385	      13.3	        80
      214	    695	    528	      10.2	        50
      215	    686	    535	      12.5	        60
      216	    670	    513	      7.07	        19
      217	    687	    506	      7.55	        20
      218	    561	    504	      8.94	        53
      219	    557	    512	      10.4	        62
      220	    543	    513	      12.3	        51
      221	    532	    494	      5.66	      38.5
      222	    547	    487	      5.92	        49
      223	    584	    604	      19.3	        49
      224	    584	    583	      18.3	        36
      225	    601	    562	      19.2	        19
      226	    486	    471	      10.5	        51
      227	    477	    473	      9.75	        55
      228	    467	    476	      8.25	        45
      229	    461	    463	      5.83	      43.5
      230	    481	    451	      8.31	        39
      231	    483	    217	      6.16	      17.5
      232	    475	    233	      6.56	        72
      233	    460	    225	         6	      86.5
      234	    460	    206	      3.87	        89
      235	    328	    188	      9.59	       100
      236	    324	    196	         9	        81
      237	    309	    206	      11.4	        89
      238	    302	    192	      8.31	       103
      239	    301	    184	      5.83	       112
      240	    318	    177	      3.87	       121
      241	    251	    135	      4.47	        51
      242	    248	    153	      11.1	      79.5
      243	    231	    158	      15.1	        73
      244	    223	    148	      13.5	       107
      245	    227	    133	      4.12	       112
      246	    163	    310	      9.38	        19
      247	    177	    291	      3.74	        89
      248	    361	    386	      6.78	      61.5
      249	    328	    391	        13	        19
      250	    257	    365	      13.8	        19
      251	    415	    411	      4.47	        19
      252	    403	    392	      8.43	        78
      253	    414	    385	      12.2	        77
      254	    428	    374	      15.8	        75
      255	    432	    396	      3.32	        13
      256	    126	    206	      19.5	        19
      257	    434	    563	      6.93	        76
      258	    415	    567	        10	       100
      259	    403	    562	      10.2	       109
      260	    408	    538	      11.4	      53.5
      261	    428	    537	        12	        49
      262	    555	    656	         6	      94.5
      263	    542	    666	       4.9	       150
      264	    531	    657	         7	       119
      265	    533	    639	      7.75	        76
      266	    549	    639	       9.9	      60.5
      267	    363	    495	      7.21	        65
      268	    349	    499	      6.32	      87.5
