
*** Voronoi Diagram Neighbours k = 774 ***
Seed	Neighbours
N774(135)	{ 196 134 636 129 12 }
N774(136)	{ 21 48 36 635 37 541 }
N774(137)	{ 407 408 409 411 406 410 }
N774(138)	{ 411 284 155 285 707 466 706 }
N774(139)	{ 40 337 479 338 22 }
N774(140)	{ 376 218 141 680 375 679 }
N774(141)	{ 218 490 491 679 140 678 }
N774(142)	{ 218 489 376 495 743 565 518 }
N774(143)	{ 100 77 144 128 88 }
N774(144)	{ 143 88 158 128 101 }
N774(145)	{ 159 166 158 }
N774(146)	{ 147 17 150 133 134 }
N774(147)	{ 146 325 17 599 133 329 }
N774(148)	{ 13 1 328 602 601 463 }
N774(149)	{ 461 602 462 463 }
N774(150)	{ 146 134 197 198 462 133 461 }
N774(151)	{ 544 640 167 755 210 514 }
N774(152)	{ 506 544 205 545 171 172 }
N774(153)	{ 314 373 372 515 371 69 }
N774(154)	{ 284 481 406 482 285 282 }
N774(155)	{ 411 410 138 467 466 419 }
N774(156)	{ 465 175 508 464 174 }
N774(157)	{ 477 413 493 492 450 }
N774(158)	{ 144 159 101 166 145 128 }
N774(159)	{ 101 78 158 145 765 71 }
N774(160)	{ 79 277 305 718 402 206 }
N774(161)	{ 240 203 99 690 687 165 }
N774(162)	{ 365 163 363 689 87 688 }
N774(163)	{ 164 87 119 60 365 162 364 }
N774(164)	{ 163 119 87 238 237 118 }
N774(165)	{ 348 240 239 690 237 161 }
N774(166)	{ 145 158 128 }
N774(167)	{ 544 205 202 640 639 151 }
N774(168)	{ 205 202 348 169 240 }
N774(169)	{ 348 168 204 506 205 505 }
N774(170)	{ 427 506 505 171 735 69 428 }
N774(171)	{ 506 170 152 573 69 545 }
N774(172)	{ 152 544 572 546 545 }
N774(173)	{ 242 508 507 174 645 241 41 }
N774(174)	{ 508 173 156 175 709 708 41 }
N774(175)	{ 156 465 466 708 707 174 }
N774(176)	{ 465 466 467 468 470 464 469 }
N774(177)	{ 511 178 652 651 510 }
N774(178)	{ 511 512 628 629 651 650 177 }
N774(179)	{ 20 184 538 360 29 180 }
N774(180)	{ 28 181 20 46 538 29 179 }
N774(181)	{ 180 46 387 386 20 }
N774(182)	{ 184 67 183 387 294 20 }
N774(183)	{ 294 182 57 67 553 552 437 }
N774(184)	{ 20 182 179 361 360 67 }
N774(185)	{ 186 351 207 73 206 672 722 721 718 }
N774(186)	{ 185 675 73 207 }
N774(187)	{ 513 242 241 665 664 512 }
N774(188)	{ 509 511 513 507 512 }
N774(189)	{ 651 652 653 656 655 657 650 190 }
N774(190)	{ 191 611 332 656 612 657 189 630 }
N774(191)	{ 332 192 356 611 610 190 }
N774(192)	{ 356 191 355 725 693 332 }
N774(193)	{ 423 194 686 45 774 59 74 }
N774(194)	{ 46 423 28 193 59 }
N774(195)	{ 18 197 196 201 108 109 }
N774(196)	{ 18 135 12 197 134 195 }
N774(197)	{ 134 195 196 198 150 109 }
N774(198)	{ 197 461 150 710 109 199 }
N774(199)	{ 463 461 198 711 710 110 }
N774(200)	{ 109 710 712 201 711 }
N774(201)	{ 112 108 195 109 712 200 90 }
N774(202)	{ 205 240 168 639 203 167 }
N774(203)	{ 240 161 99 639 588 202 }
N774(204)	{ 348 239 505 169 349 }
N774(205)	{ 168 202 506 169 544 152 167 }
N774(206)	{ 79 243 351 256 718 160 185 }
N774(207)	{ 351 185 675 186 274 }
N774(208)	{ 29 28 749 423 26 }
N774(209)	{ 379 309 214 771 770 358 }
N774(210)	{ 233 640 755 211 151 641 770 769 214 }
N774(211)	{ 233 210 756 63 755 }
N774(212)	{ 234 728 726 756 727 63 }
N774(213)	{ 234 473 235 472 }
N774(214)	{ 379 471 233 380 770 209 210 }
N774(215)	{ 419 409 680 220 216 }
N774(216)	{ 409 676 408 680 215 217 }
N774(217)	{ 676 677 680 216 679 }
N774(218)	{ 376 140 142 490 489 141 }
N774(219)	{ 375 220 420 517 421 376 }
N774(220)	{ 419 420 219 374 680 375 215 }
N774(221)	{ 32 68 541 36 33 }
N774(222)	{ 226 49 432 107 223 }
N774(223)	{ 49 224 432 431 222 }
N774(224)	{ 225 49 105 431 223 104 }
N774(225)	{ 224 105 49 347 346 50 }
N774(226)	{ 222 345 107 346 106 49 }
N774(227)	{ 228 115 231 116 10 }
N774(228)	{ 227 263 115 116 604 262 603 }
N774(229)	{ 604 605 606 603 715 607 608 }
N774(230)	{ 715 714 607 717 713 716 }
N774(231)	{ 227 10 319 713 320 116 }
N774(232)	{ 472 475 471 474 }
N774(233)	{ 211 210 214 472 471 63 }
N774(234)	{ 472 213 63 726 212 235 }
N774(235)	{ 213 682 473 580 234 728 726 591 }
N774(236)	{ 34 18 296 488 297 }
N774(237)	{ 164 239 238 87 690 689 165 }
N774(238)	{ 164 237 349 239 118 }
N774(239)	{ 237 348 165 349 204 238 }
N774(240)	{ 161 203 202 348 168 165 }
N774(241)	{ 242 645 173 3 664 187 646 }
N774(242)	{ 241 173 513 507 187 }
N774(243)	{ 79 206 89 551 296 256 }
N774(244)	{ 550 633 245 634 632 250 }
N774(245)	{ 548 550 547 633 244 549 }
N774(246)	{ 113 549 247 548 }
N774(247)	{ 113 10 248 11 549 56 246 }
N774(248)	{ 247 249 56 437 57 11 }
N774(249)	{ 248 56 57 344 293 250 }
N774(250)	{ 249 633 56 634 244 344 }
N774(251)	{ 278 95 83 587 99 252 }
N774(252)	{ 253 95 107 587 251 94 }
N774(253)	{ 252 95 345 107 286 }
N774(254)	{ 96 279 286 288 280 287 }
N774(255)	{ 350 434 257 274 753 563 448 }
N774(256)	{ 206 551 243 351 615 594 435 }
N774(257)	{ 255 434 622 436 350 }
N774(258)	{ 25 263 259 115 }
N774(259)	{ 39 40 22 25 263 38 258 }
N774(260)	{ 39 38 731 730 497 }
N774(261)	{ 730 731 734 729 732 }
N774(262)	{ 263 228 604 730 729 38 }
N774(263)	{ 262 38 228 259 258 115 }
N774(264)	{ 382 383 772 381 384 }
N774(265)	{ 579 624 123 625 127 584 }
N774(266)	{ 88 291 77 126 626 625 290 }
N774(267)	{ 290 416 570 291 569 }
N774(268)	{ 272 269 566 104 565 }
N774(269)	{ 272 270 452 565 495 268 }
N774(270)	{ 452 269 476 451 595 271 272 }
N774(271)	{ 476 595 270 478 }
N774(272)	{ 268 269 104 270 669 595 311 }
N774(273)	{ 435 298 433 740 488 299 }
N774(274)	{ 351 350 563 255 675 207 558 }
N774(275)	{ 616 300 578 681 301 617 }
N774(276)	{ 52 53 80 303 681 417 92 }
N774(277)	{ 79 305 160 575 302 89 }
N774(278)	{ 251 279 95 598 83 96 }
N774(279)	{ 96 278 286 254 95 }
N774(280)	{ 281 96 254 391 288 84 }
N774(281)	{ 96 280 364 97 84 }
N774(282)	{ 481 480 154 483 482 479 }
N774(283)	{ 407 22 481 406 480 }
N774(284)	{ 285 154 411 138 406 }
N774(285)	{ 284 154 706 482 138 }
N774(286)	{ 279 95 254 345 253 762 287 106 }
N774(287)	{ 254 286 763 288 762 }
N774(288)	{ 254 391 280 763 287 388 }
N774(289)	{ 415 414 455 569 456 416 }
N774(290)	{ 291 416 384 267 626 383 266 }
N774(291)	{ 290 266 570 77 267 }
N774(292)	{ 293 76 386 19 58 }
N774(293)	{ 292 294 57 58 344 76 249 }
N774(294)	{ 57 183 293 58 387 295 182 }
N774(295)	{ 58 387 294 386 }
N774(296)	{ 18 89 236 551 297 243 }
N774(297)	{ 488 236 551 433 296 }
N774(298)	{ 273 551 433 435 }
N774(299)	{ 436 435 740 273 434 }
N774(300)	{ 301 302 616 575 275 }
N774(301)	{ 300 302 681 417 275 }
N774(302)	{ 305 417 301 304 575 300 277 }
N774(303)	{ 80 417 276 304 }
N774(304)	{ 305 403 80 402 417 302 303 }
N774(305)	{ 302 277 402 304 160 }
N774(306)	{ 335 659 307 399 701 658 700 }
N774(307)	{ 335 334 659 306 308 }
N774(308)	{ 358 334 307 660 309 659 }
N774(309)	{ 358 379 209 310 660 393 308 }
N774(310)	{ 379 378 393 309 454 385 2 }
N774(311)	{ 104 105 313 669 272 668 }
N774(312)	{ 313 425 389 671 353 390 }
