
***             Voronoi Diagram k =  180         ***
index	sx	sy	ls	mi
      161	     52	     59	      6.24	   3.5e-05
      162	     35	      5	      7.14	   0.00365
      163	     27	      4	         7	     0.002
      164	     42	     28	      3.16	     0.088
      165	     60	     22	      5.57	   0.00155
      166	     54	      3	       5.1	    0.0066
      167	     23	     62	      4.58	   -0.0247
      168	     18	     58	      5.29	    0.0152
      169	     29	     54	      6.48	  -0.00294
      170	     48	     33	      4.58	 -0.000848
      171	     20	     53	       4.9	   0.00231
      172	     51	     63	       5.2	   -0.0106
      173	      6	     49	       5.1	   -0.0098
      174	     27	     60	      4.24	    0.0127
      175	     26	     32	      5.48	   -0.0186
      176	     60	     35	      6.63	  -0.00549
      177	      6	      3	      5.74	   -0.0135
      178	     45	     31	      4.12	   0.00842
      179	      3	     44	      5.29	  -0.00559
      180	     12	     51	      6.78	    0.0111
