
*** Voronoi Diagram Neighbours k = 180 ***
Seed	Neighbours
N180(140)	{ 90 82 176 136 150 }
N180(141)	{ 4 161 143 97 }
N180(142)	{ 117 95 147 54 124 }
N180(143)	{ 4 141 172 161 }
N180(144)	{ 6 172 126 174 145 167 }
N180(145)	{ 126 118 174 144 169 }
N180(146)	{ 60 101 177 34 }
N180(147)	{ 142 54 94 108 109 124 }
N180(148)	{ 3 155 93 6 }
N180(149)	{ 20 15 177 34 163 }
N180(150)	{ 170 151 82 176 140 99 }
N180(151)	{ 85 99 170 133 150 }
N180(152)	{ 39 42 43 80 153 23 127 }
N180(153)	{ 78 102 23 152 175 79 127 }
N180(154)	{ 110 116 2 175 74 104 }
N180(155)	{ 93 148 6 113 }
N180(156)	{ 87 138 131 137 136 }
N180(157)	{ 67 59 60 101 58 }
N180(158)	{ 112 111 180 171 159 }
N180(159)	{ 112 122 109 180 158 123 }
N180(160)	{ 100 86 161 119 96 }
N180(161)	{ 160 141 97 96 172 119 143 }
N180(162)	{ 77 7 163 68 81 }
N180(163)	{ 68 71 49 15 81 162 177 149 89 }
N180(164)	{ 73 62 132 178 103 134 }
N180(165)	{ 137 131 129 90 136 }
N180(166)	{ 89 106 138 139 }
N180(167)	{ 168 6 174 144 114 }
N180(168)	{ 6 167 114 180 113 171 }
N180(169)	{ 118 116 110 111 174 145 114 }
N180(170)	{ 151 150 82 178 91 133 }
N180(171)	{ 111 114 180 168 158 }
N180(172)	{ 161 119 126 144 143 }
N180(173)	{ 179 125 121 180 105 123 }
N180(174)	{ 144 145 169 114 167 }
N180(175)	{ 79 74 154 104 122 128 127 153 }
N180(176)	{ 84 136 140 150 99 }
N180(177)	{ 146 34 149 163 89 }
N180(178)	{ 170 91 35 103 164 134 133 }
N180(179)	{ 125 124 117 121 173 }
N180(180)	{ 173 105 93 113 168 171 158 159 123 }
